
=== COMPETITOR: 257 terms, L514 ===
  [buckingham gate orthodontics]  L2.99
  [ko dental practice]  L2.34
  [elite dental studio]  L2.34
  [139 harley street]  L2.34
  [pembury dental surgery]  L2.33
  [blue care dental]  L2.33
  [cannon street dental]  L2.32
  [kings dental clinic]  L2.32
  [ardent smile reviews]  L2.32
  [biomimetic dentistry uk]  L2.32
  [aviva cosmetic dentistry]  L2.31
  [tdc harley street]  L2.31
  [miswak dental clinic]  L2.30
  [epsom dental centre]  L2.30
  [kingston dental clinic]  L2.29
  [75 harley street]  L2.29
  [pearl dental kingston]  L2.28
  [swedish smile clinic]  L2.28
  [aqua dental prices]  L2.27
  [dental clinic chiswick]  L2.27
  [ivory dental studio]  L2.27
  [mds dental clinic]  L2.26
  [white dental chiswick]  L2.26
  [overcliffe dental practice]  L2.24
  [lema dental clinic]  L2.24
  [implant dental clinic]  L2.23
  [eco dent stanmore]  L2.22
  [leigh dental centre]  L2.21
  [baker street dental]  L2.20
  [hanwell dental practice]  L2.20
  [vitaleurope dental clinic]  L2.19
  [dentakay london photos]  L2.18
  [dental clinical trials]  L2.18
  [simply teeth prices]  L2.18
  [staines dental practice]  L2.17
  [tlc dental care]  L2.16
  [kreate dental dartford]  L2.16
  [lim dental practice]  L2.16
  [battersea dental clinic]  L2.14
  [whites dental london]  L2.13
  [ikon dental specialists]  L2.10
  [dent1st dental clinic]  L2.10
  [hollywood smile treatment]  L2.08
  [park lane dental]  L2.08
  [holistic dentist london]  L2.06
  [islington beauty dental]  L2.06
  [wallington dental surgery]  L2.05
  [dental emporium putney]  L2.05
  [love teeth chessington]  L2.03
  [be dental clinic]  L2.03
  [cosmetic dental gallery]  L2.02
  [m&m dental clinic]  L2.01
  [pura dental care]  L1.99
  [w9 dental health]  L1.98
  [perfect smile spa]  L1.97
  [dental beauty feltham]  L1.96
  [wimpole dental office]  L1.94
  [dental spa london]  L1.94
  [forest dental care]  L1.93
  [smile white dental]  L1.93
  [bayswater dental clinic]  L1.92
  [haynes dental clinic]  L1.91
  [evil dental com]  L1.91
  [cosmo dentist hackney]  L1.90
  [nabil dental clinic]  L1.89
  [newham dental care]  L1.88
  [ucl implant dentistry]  L1.88
  [revived smiles cost]  L1.87
  [blue bird dentistry]  L1.87
  [sardinia dental practice]  L1.87
  [beaufort dental clinic]  L1.86
  [mint dental centre]  L1.86
  [beaconsfield dentist orpington]  L1.85
  [dental surgery harrow]  L1.85
  [royal dental clinic]  L1.85
  [kensington dental clinic]  L1.84
  [sodc dental clinic]  L1.83
  [guys dental department]  L1.82
  [platinum dental care]  L1.81
  [serenity dental surgery]  L1.80
  [ilford dental care]  L1.80
  [islington dental surgery]  L1.79
  [evo dental care]  L1.79
  [sonria dental clinic]  L1.78
  [smile clinic hammersmith]  L1.78
  [bupa dental prices]  L1.78
  [smile clinic london]  L1.77
  [banning dental reviews]  L1.76
  [anna peterson dental]  L1.76
  [regency dental clinic]  L1.76
  [dct zero teeth]  L1.74
  [dental beauty basildon]  L1.74
  [faces & smiles]  L1.73
  [haynes dental practice]  L1.73
  [the dental experts]  L1.71
  [inspire dental walthamstow]  L1.71
  [apple dental pinner]  L1.71
  [frances carling thom]  L1.71
  [favero dental clinic]  L1.70
  [bupa implants cost]  L1.70
  [salisbury implant centre]  L1.68
  [abc dental clinic]  L1.67
  [bupa south woodford]  L1.67
  [implanty zebowe uk]  L1.65
  [islington dental beauty]  L1.65
  [brown's dental surgery]  L1.64
  [brigstock dental practice]  L1.64
  [dental beauty streatham]  L1.64
  [vidadent dental practice]  L1.63
  [fitze dental clinics]  L1.58
  [danbury dental care]  L1.57
  [dentakay dental clinic]  L1.56
  [dental beauty camden]  L1.55
  [adel dental practice]  L1.55
  [bupa dental bank]  L1.54
  [cricklewood dental practice]  L1.54
  [local dental hospital]  L1.54
  [pearl dental clinic]  L1.53
  [evo dental uk]  L1.53
  [cedars dental practice]  L1.51
  [lakeside dental clinic]  L1.50
  [dunstable dental practice]  L1.50
  [the smile clinic]  L1.49
  [confidental clinic surbiton]  L1.47
  [willesden dental care]  L1.47
  [lodge dental suite]  L1.46
  [dental care centre]  L1.45
  [implanty zębowe uk]  L1.44
  [student dental treatment]  L1.42
  [beckenham dental clinic]  L1.42
  [dental beauty bexleyheath]  L1.42
  [excel dental care]  L1.41
  [angel dental practice]  L1.40
  [oraldent dental clinic]  L1.39
  [dental clinic acton]  L1.38
  [dentexcel harley street]  L1.37
  [banning dental locations]  L1.37
  [greenwich dental practice]  L1.34
  [olsens dental practice]  L1.34
  [hanwell dental centre]  L1.34
  [malpas dental surgery]  L1.33
  [battersea dental beauty]  L1.32
  [dental art implant]  L1.32
  [harrow smile clinic]  L1.31
  [beckenham dental centre]  L1.30
  [og dental clinic]  L1.30
  [dental beauty clapham]  L1.29
  [77 harley street]  L1.27
  [abc dental surgery]  L1.26
  [implanty dentystyczne cena]  L1.26
  [iver dental practice]  L1.24
  [mortlake dental practice]  L1.24
  [ap dental practice]  L1.23
  [sbc dental clinic]  L1.23
  [dental clinic dagenham]  L1.23
  [dentique dental practice]  L1.23
  [knightshill dental practice]  L1.21
  [bright dental practice]  L1.20
  [dental beauty northfields]  L1.20
  [abney dental practice]  L1.20
  [hockerill dental practice]  L1.20
  [bermondsey dental studio]  L1.18
  [specialist dental services]  L1.18
  [hersham dental practice]  L1.17
  [queens park dental]  L1.16
  [wapping dental centre]  L1.16
  [woolwich dental care]  L1.15
  [walthamstow dental centre]  L1.14
  [bupa dentist staines]  L1.13
  [katherine dental care]  L1.12
  [dental care langley]  L1.11
  [kingsbury dental practice]  L1.10
  [kilburn dental studio]  L1.05
  [belmont park dental]  L1.05
  [banning dentist chiswick]  L1.04
  [maldent dental practice]  L1.04
  [langley dental care]  L1.01
  [beam dental clinic]  L1.01
  [bright smile studio]  L1.00
  [dental beauty greenwich]  L1.00

=== NAMED_DR: 56 terms, L103 ===
  [dr tidu mankoo]  L2.95
  [dr priscila kolbe]  L2.92
  [dr adeel ali]  L2.87
  [kit spears dentist]  L2.80
  [dr sampson dentist]  L2.79
  [satinder dhami dentist]  L2.71
  [walworth road dentist]  L2.66
  [new addington dentist]  L2.58
  [shirland road dentist]  L2.57
  [justin glaister dentist]  L2.54
  [award winning dentist]  L2.42
  [paul niland dentist]  L2.39
  [dr james goolnik]  L2.39
  [rupert young dentist]  L2.35
  [dr ogo eze]  L2.33
  [andrew dawood dentist]  L2.28
  [hertford road dentist]  L2.24
  [acton vale dentist]  L2.12
  [ian seddon dentist]  L2.09
  [smile uk dentist]  L2.06
  [dr areeb mirza]  L2.05
  [dr soni dentist]  L2.01
  [joe oliver dentist]  L2.00
  [dr rudi mukherjee]  L1.74
  [market square dentist]  L1.73
  [dr pagan dentist]  L1.73
  [dr prakash dentist]  L1.70
  [dr prisha patel]  L1.68
  [lawrence smith dentist]  L1.67
  [ealing broadway dentist]  L1.60
  [sonia rajput dentist]  L1.59
  [dr mehran sanei]  L1.58
  [ruabon road dentist]  L1.58
  [simon stern dentist]  L1.57
  [sanjay sethi dentist]  L1.55
  [west kensington dentist]  L1.55
  [vish anand dentist]  L1.50
  [ilan preiss dentist]  L1.44
  [rodney street dentist]  L1.43
  [andrew hill dentist]  L1.42
  [wimbledon nhs dentist]  L1.39
  [pall mall dentist]  L1.37
  [dr anthony lam]  L1.35
  [alexandra palace dentist]  L1.33
  [dr sunny kaushal]  L1.32
  [david guy dentist]  L1.28
  [mohsin patel dentist]  L1.26
  [dr luk athwal]  L1.24
  [ramesh siva dentist]  L1.17
  [aaron yusuf dentist]  L1.15
  [arman barfeie dentist]  L1.15
  [oak hill dentist]  L1.13
  [kashif hafeez dentist]  L1.08
  [david wiseman dentist]  L1.07
  [affordable cosmetic dentist]  L1.03
  [london implant dentist]  L1.02

=== ABROAD: 44 terms, L86 ===
  [hungary dental clinic]  L2.90
  [implants in bulgaria]  L2.89
  [albania teeth implants]  L2.88
  [dental implants switzerland]  L2.74
  [teeth implants poland]  L2.72
  [dental treatment abroad]  L2.58
  [sofia dental clinic]  L2.58
  [krakow dental implants]  L2.58
  [dentist in bucharest]  L2.56
  [italian dentist london]  L2.41
  [dentakay turkey prices]  L2.34
  [hungarian dental implants]  L2.25
  [teeth in bulgaria]  L2.19
  [poland cosmetic dentistry]  L2.14
  [budapest dental treatment]  L2.13
  [dental implants italy]  L2.11
  [haringey dentist turkish]  L2.08
  [turkey teeth price]  L2.08
  [bulgaria teeth implants]  L2.07
  [dental tourism europe]  L2.07
  [lithuanian dentist london]  L2.07
  [benidorm dental implants]  L1.83
  [bangkok teeth implants]  L1.81
  [dental implants portugal]  L1.81
  [swiss implant price]  L1.77
  [dental implants cebu]  L1.76
  [dental implants lithuania]  L1.74
  [teeth replacement turkey]  L1.73
  [dental implants germany]  L1.73
  [polish dental clinic]  L1.71
  [clinica dentara londra]  L1.71
  [dental implants croatia]  L1.70
  [polish dental care]  L1.63
  [truly dental dublin]  L1.52
  [composite bonding abroad]  L1.48
  [implants in spain]  L1.48
  [turkey veneers finance]  L1.43
  [cosmetic dentistry poland]  L1.41
  [swiss biohealth concept]  L1.39
  [tooth implant poland]  L1.29
  [estetinis plombavimas londone]  L1.20
  [smile dental turkey]  L1.10
  [composite bonding hungary]  L1.04
  [dental implant romania]  L1.04

=== WRONG_UK: 144 terms, L268 ===
  [white dental datchet]  L2.93
  [dental implants clacton]  L2.91
  [composite bonding glasgow]  L2.91
  [dental surgery luton]  L2.90
  [composite bonding bristol]  L2.87
  [crafted dental stirling]  L2.86
  [dental implants hook]  L2.82
  [cosmetic dentist nuneaton]  L2.80
  [dental implants newport]  L2.76
  [teeth implants glasgow]  L2.72
  [tooth implant nottingham]  L2.70
  [newlife teeth manchester]  L2.69
  [private dentist bradford]  L2.62
  [ascot dental suite]  L2.60
  [aberdeen dental implants]  L2.58
  [manchester implant centre]  L2.58
  [dental implants mansfield]  L2.58
  [dental implant wales]  L2.53
  [dental implants benfleet]  L2.53
  [tooth club stevenage]  L2.49
  [cosmetic dentists derby]  L2.47
  [cosmetic dentistry bedford]  L2.46
  [perfect smile hertfordshire]  L2.46
  [cosmetic dentistry kent]  L2.45
  [implants northern ireland]  L2.45
  [composite bonding reading]  L2.43
  [private dentist mansfield]  L2.41
  [dental implant newcastle]  L2.41
  [cosmetic dentists glasgow]  L2.40
  [orthodontists in manchester]  L2.40
  [dental implants rochdale]  L2.39
  [veneers edinburgh prices]  L2.38
  [dentist in cirencester]  L2.36
  [dentist in daventry]  L2.36
  [space dental sheffield]  L2.27
  [dorking dental centre]  L2.27
  [banning dental woking]  L2.27
  [composite bonding tonbridge]  L2.27
  [private dentist borehamwood]  L2.25
  [coleman dental cirencester]  L2.23
  [composite bonding chichester]  L2.22
  [evo dental liverpool]  L2.22
  [dental implant barnsley]  L2.18
  [composite bonding newport]  L2.17
  [cosmetic dentist derry]  L2.16
  [dental implants sussex]  L2.14
  [implant dentist guildford]  L2.14
  [dental hospital brighton]  L2.12
  [portman dental maidenhead]  L2.11
  [dentist bath uk]  L2.11
  [bournemouth dental implants]  L2.09
  [dental implant norwich]  L2.06
  [the yorkshire dentist]  L2.06
  [smile dental redruth]  L2.04
  [dental implants portsmouth]  L2.02
  [dentist in sedgefield]  L2.01
  [dental implants pontypridd]  L1.99
  [dental implants southampton]  L1.98
  [dental implants stroud]  L1.98
  [private dentist inverness]  L1.98
  [cosmetic dentist beaconsfield]  L1.97
  [dentist kidbrooke village]  L1.96
  [tooth club loughton]  L1.96
  [tooth club birmingham]  L1.95
  [tunbridge wells implants]  L1.93
  [21d dental leeds]  L1.93
  [dental crowns stafford]  L1.93
  [perlan dental eastbourne]  L1.88
  [evo dental bristol]  L1.88
  [sussex dental implants]  L1.87
  [private dentist watford]  L1.86
  [teeth implants exeter]  L1.85
  [cosmetic dentistry leeds]  L1.85
  [cosmetic dentist edinburgh]  L1.81
  [dental implants cumbria]  L1.81
  [dental veneers plymouth]  L1.80
  [cosmetic dentistry wolverhampton]  L1.78
  [dental implant manchester]  L1.78
  [dentist braintree essex]  L1.78
  [tooth implant newcastle]  L1.76
  [best dentist stirling]  L1.75
  [dentists in reading]  L1.73
  [composite bonding peterborough]  L1.71
  [tooth implants plymouth]  L1.70
  [camberley dental studio]  L1.69
  [cosmetic dentistry durham]  L1.69
  [dee dental paisley]  L1.67
  [dental implant scotland]  L1.66
  [dental implants dorset]  L1.64
  [dental implants shrewsbury]  L1.62
  [private dentist southampton]  L1.61
  [dental implants belfast]  L1.59
  [space dental leeds]  L1.57
  [teeth in england]  L1.56
  [dental bridge brighton]  L1.55
  [stradbrook dentist tonbridge]  L1.53
  [dentists sevenoaks kent]  L1.52
  [composite bonding oxford]  L1.51
  [dental treatment dorset]  L1.47
  [leeds dental care]  L1.46
  [porcelain veneers manchester]  L1.45
  [dental implants telford]  L1.45
  [tooth implant colchester]  L1.45
  [simply teeth essex]  L1.45
  [dental surgery norwich]  L1.44
  [loughton dental surgery]  L1.43
  [damira dental maidenhead]  L1.43
  [bristol dental group]  L1.41
  [cosmetic dentistry woking]  L1.40
  [tooth implant windsor]  L1.40
  [cosmetic dentistry dundee]  L1.39
  [veneers glasgow cost]  L1.37
  [smile dental slough]  L1.34
  [private dentist stevenage]  L1.33
  [rit dental birmingham]  L1.33
  [cosmetic dentist plymouth]  L1.32
  [sevenoaks dental centre]  L1.32
  [private dentist farnborough]  L1.30
  [gm dental rochester]  L1.30
  [implant dentist glasgow]  L1.29
  [teeth implants lincoln]  L1.29
  [loughton dental practice]  L1.28
  [private dentist preston]  L1.28
  [best dentist exeter]  L1.27
  [tooth implant glasgow]  L1.24
  [dental implant glasgow]  L1.23
  [smile makeover edinburgh]  L1.22
  [cosmetic dentist halifax]  L1.19
  [cosmetic dentistry norwich]  L1.17
  [private dentists doncaster]  L1.17
  [dental implant ireland]  L1.17
  [best dentist bolton]  L1.16
  [cosmetic dentist peterborough]  L1.14
  [horsham dental studio]  L1.13
  [sync dental windsor]  L1.12
  [dentist in belfast]  L1.10
  [dentists in borehamwood]  L1.10
  [dental implants aberdeen]  L1.10
  [best dentist watford]  L1.09
  [cosmetic dentistry chester]  L1.07
  [dental implant sheffield]  L1.04
  [watford dental practice]  L1.04
  [dental clinics newcastle]  L1.00
  [cosmetic dentistry brighton]  L1.00

=== DENTURE: 110 terms, L197 ===
  [ivoclar vivadent dentures]  L2.95
  [dental flipper cost]  L2.94
  [metal full dentures]  L2.76
  [uk dentures cost]  L2.70
  [fixed in dentures]  L2.69
  [clip in veneers]  L2.64
  [silicone dentures uk]  L2.63
  [valplast dentures cost]  L2.61
  [palateless denture cost]  L2.59
  [soft dentures uk]  L2.58
  [implant retained denture]  L2.57
  [implant or denture]  L2.54
  [artificial denture teeth]  L2.52
  [instant false teeth]  L2.51
  [snap fit dentures]  L2.49
  [denture cost uk]  L2.49
  [clip on implants]  L2.44
  [tuvilo false teeth]  L2.43
  [denture single tooth]  L2.43
  [getting false teeth]  L2.42
  [best dentures london]  L2.41
  [dentures for eating]  L2.38
  [dentures north london]  L2.38
  [implant dentures price]  L2.37
  [dentures vs implants]  L2.35
  [cad cam dentures]  L2.28
  [london denture care]  L2.28
  [dentures by post]  L2.25
  [clip on tooth]  L2.19
  [flexible dentures london]  L2.19
  [private dentures london]  L2.15
  [cvioert dentures reviews]  L2.14
  [fixed dentures uk]  L2.10
  [dentures st albans]  L2.08
  [best fake teeth]  L2.08
  [removable dentures cost]  L2.07
  [false tooth price]  L2.06
  [denture works clinic]  L2.04
  [cosmetic dentures london]  L1.98
  [over denture implant]  L1.97
  [get fake teeth]  L1.96
  [valplast denture price]  L1.94
  [missing dental clips]  L1.92
  [overdentures cost uk]  L1.91
  [permanent denture cost]  L1.90
  [price for dentures]  L1.88
  [perfect smile dentures]  L1.88
  [medical grade dentures]  L1.87
  [implant supported denture]  L1.87
  [hybrid dentures cost]  L1.85
  [denture near me]  L1.83
  [cosmetic dentures edinburgh]  L1.82
  [full dentures cost]  L1.75
  [valplast partial denture]  L1.70
  [plateless top dentures]  L1.68
  [specialist denture clinic]  L1.68
  [removable implant denture]  L1.67
  [full dentures online]  L1.66
  [false teeth set]  L1.66
  [permanent dentures uk]  L1.64
  [false teeth warrington]  L1.64
  [false dentures teeth]  L1.64
  [cost for dentures]  L1.62
  [dentures made online]  L1.59
  [partial upper dentures]  L1.59
  [natural looking dentures]  L1.58
  [soft silicone dentures]  L1.58
  [buy dentures online]  L1.55
  [bridge dentures cost]  L1.54
  [missing teeth clips]  L1.51
  [dentures in essex]  L1.51
  [good quality dentures]  L1.51
  [fake teeth process]  L1.50
  [chrome dentures price]  L1.49
  [snap in teeth]  L1.48
  [fake teeth dental]  L1.47
  [dentures private cost]  L1.45
  [single tooth denture]  L1.42
  [clip in tooth]  L1.41
  [implant supported overdentures]  L1.40
  [london denture clinic]  L1.39
  [valplast dentures disadvantages]  L1.38
  [3d digital dentures]  L1.36
  [denture options uk]  L1.34
  [dentures prices list]  L1.33
  [flexible partial dentures]  L1.30
  [fake teeth cost]  L1.30
  [partial dentures cost]  L1.26
  [best false teeth]  L1.24
  [online dentures uk]  L1.24
  [alternatives to dentures]  L1.23
  [teeth clips cost]  L1.23
  [online dentures reviews]  L1.18
  [modern dentures uk]  L1.16
  [dentures at 40]  L1.15
  [false teeth dentures]  L1.10
  [best partial dentures]  L1.10
  [easy denture price]  L1.09
  [modern dentures cost]  L1.09
  [full denture cost]  L1.07
  [cost dentures uk]  L1.07
  [dentures in southampton]  L1.06
  [dentures vs veneers]  L1.05
  [heat moldable denture]  L1.05
  [dentures milton keynes]  L1.05
  [digital dentures price]  L1.04
  [need false teeth]  L1.04
  [full top dentures]  L1.01
  [dentures in newcastle]  L1.01
  [flexible dentures cost]  L1.00

=== CHEAP_NHS: 35 terms, L65 ===
  [veneer teeth nhs]  L2.97
  [nhs dentist belvedere]  L2.84
  [nhs dental treatment]  L2.77
  [cheapest composite bonding]  L2.69
  [composite bonding groupon]  L2.56
  [affordable dentist exeter]  L2.47
  [nhs dentist london]  L2.46
  [cheap crown replacement]  L2.42
  [affordable implants prices]  L2.39
  [nhs dentist teddington]  L2.34
  [best affordable dentures]  L2.29
  [nhs dentist stratford]  L2.11
  [teeth implants nhs]  L2.09
  [cheap composite bonding]  L2.03
  [pensioner dental costs]  L2.02
  [affordable fake teeth]  L2.00
  [cheap crowns uk]  L1.94
  [free dental treatment]  L1.84
  [nhs dentist implants]  L1.79
  [dental crowns groupon]  L1.73
  [nhs dentist ruislip]  L1.64
  [groupon teeth implants]  L1.49
  [dental implants groupon]  L1.46
  [cheap dental bonding]  L1.45
  [invisalign interest free]  L1.42
  [nhs dentist egham]  L1.36
  [affordable dental clips]  L1.31
  [tooth bridge nhs]  L1.30
  [dentures nhs price]  L1.30
  [hanwell dentist nhs]  L1.28
  [nhs dentist bagshot]  L1.26
  [free consultation invisalign]  L1.13
  [cheap dental crown]  L1.10
  [free dental work]  L1.04
  [dentures cost nhs]  L1.03

=== NON_DBD: 21 terms, L39 ===
  [gum restoration cost]  L2.87
  [teeth whitening uxbridge]  L2.72
  [receding gums operation]  L2.71
  [hearing aids london]  L2.68
  [laser teeth whitening]  L2.60
  [teeth whitening manchester]  L2.43
  [teeth whitening uk]  L2.25
  [teeth whitening bexleyheath]  L2.03
  [tooth whitening london]  L2.02
  [teeth whitening glasgow]  L1.97
  [cheap tooth extraction]  L1.89
  [tooth extraction london]  L1.76
  [tooth extraction ipswich]  L1.53
  [tooth whitening leeds]  L1.49
  [teeth whitening hertford]  L1.43
  [teeth whitening oxford]  L1.30
  [teeth whitening cirencester]  L1.26
  [composite filling cost]  L1.14
  [gum graft cost]  L1.11
  [teeth whitening sheffield]  L1.07
  [teeth whitening romford]  L1.05

=== BRAND_RESEARCH: 24 terms, L53 ===
  [nobel active implants]  L2.94
  [porcelain dental implants]  L2.83
  [osstem implant system]  L2.70
  [straumann blc implants]  L2.65
  [astra implants uk]  L2.60
  [dentium implant price]  L2.58
  [zirconium crown price]  L2.56
  [swiss straumann implant]  L2.52
  [biomet 3i implants]  L2.52
  [basal dental implants]  L2.47
  [nobel teeth implants]  L2.42
  [basal implants uk]  L2.39
  [subperiosteal dental implants]  L2.32
  [mini dental implants]  L2.31
  [dental mini implants]  L2.31
  [zirconia implants uk]  L2.13
  [southern implants uk]  L2.11
  [straumann implant price]  L2.02
  [straumann implant cost]  L1.85
  [zirconium teeth price]  L1.61
  [basal tooth implant]  L1.59
  [zirconia teeth price]  L1.53
  [zirconium crowns price]  L1.38
  [astra dental clinic]  L1.12

=== KEEP: 332 terms, L598 ===
  [full mouth bridge]  L2.99
  [finance veneers uk]  L2.98
  [implant supported crown]  L2.97
  [first molar implant]  L2.96
  [dental hygienist london]  L2.92
  [implant price london]  L2.92
  [teeth payment plan]  L2.92
  [dentist hackney wick]  L2.91
  [uk veneers cost]  L2.90
  [what are veneers]  L2.89
  [implant crown types]  L2.89
  [natural teeth implants]  L2.88
  [teeth bonding cost]  L2.88
  [cosmetic restorative dentistry]  L2.87
  [chelsea house dental]  L2.86
  [two dental implants]  L2.86
  [best implant brands]  L2.84
  [jaw bone grafting]  L2.82
  [multiple missing teeth]  L2.80
  [cosmetic dental costs]  L2.79
  [dental ozone therapy]  L2.78
  [all new teeth]  L2.78
  [artificial tooth cost]  L2.78
  [tooth veneers cost]  L2.78
  [magyar fogorvos london]  L2.76
  [dental implants peckham]  L2.76
  [dentist motor city]  L2.74
  [best cosmetic dentist]  L2.68
  [teeth surgery prices]  L2.68
  [dental micro layering]  L2.67
  [bridge vs implant]  L2.66
  [missing tooth solutions]  L2.64
  [new teeth options]  L2.63
  [dentist crouch end]  L2.62
  [teeth straightening surgery]  L2.61
  [teeth new set]  L2.60
  [dentist in lewisham]  L2.59
  [dentist ponders end]  L2.58
  [24 hour smile]  L2.56
  [permanent tooth replacements]  L2.56
  [replacing a tooth]  L2.55
  [braces cost uk]  L2.54
  [teeth cosmetic procedures]  L2.52
  [tooth dental implant]  L2.52
  [pay monthly invisalign]  L2.50
  [restorative dentistry specialist]  L2.50
  [capping on teeth]  L2.49
  [dental bone graft]  L2.49
  [10 veneers cost]  L2.48
  [3 on 6]  L2.48
  [dentist near camden]  L2.48
  [bamboo dental prices]  L2.47
  [veneers monthly payment]  L2.47
  [dental crowns london]  L2.47
  [dental implants hospital]  L2.47
  [kings dental specialists]  L2.47
  [cost of veneers]  L2.46
  [direct composite veneer]  L2.44
  [smile dental harrow]  L2.43
  [dental east london]  L2.42
  [coco dental london]  L2.42
  [cosmetic dental insurance]  L2.42
  [platinum tooth implant]  L2.40
  [dental prices uk]  L2.40
  [very crooked teeth]  L2.39
  [invisalign aligners london]  L2.39
  [private dentist charges]  L2.36
  [0 dental financing]  L2.35
  [new crown cost]  L2.34
  [broken teeth repair]  L2.34
  [dental treatment cost]  L2.33
  [dental implants worcester]  L2.33
  [compare dentists prices]  L2.33
  [dental inserts cost]  L2.33
  [how much implant]  L2.33
  [nuvia teeth implants]  L2.33
  [implant zeba koszt]  L2.32
  [london bridge invisalign]  L2.29
  [dental implant reviews]  L2.29
  [upper jaw teeth]  L2.28
  [invisalign prices london]  L2.28
  [implantation dental cost]  L2.28
  [dental implants epsom]  L2.27
  [dentist wandsworth road]  L2.25
  [custom made veneers]  L2.24
  [best private dentist]  L2.24
  [implants uk price]  L2.23
  [new malden dental]  L2.23
  [full dental implant]  L2.22
  [dentafly london clinic]  L2.22
  [tooth clinic london]  L2.21
  [chipped tooth repair]  L2.21
  [dental crowns cost]  L2.20
  [best dentist ilford]  L2.20
  [dentist in uk]  L2.19
  [dental implants carshalton]  L2.19
  [cosmetic dentist croydon]  L2.18
  [crown cost dental]  L2.17
  [dentists in fulham]  L2.16
  [best composite bonding]  L2.16
  [cosmetic teeth straightening]  L2.15
  [dentists shepherds bush]  L2.14
  [dentist enfield town]  L2.14
  [dental clip cost]  L2.14
  [tooth implant gold]  L2.13
  [dental costs uk]  L2.13
  [dental make over]  L2.12
  [dental estetik center]  L2.12
  [dental finance calculator]  L2.12
  [jaw bone graft]  L2.10
  [cosmetic tooth replacement]  L2.06
  [nano fill bonding]  L2.04
  [импланти на зъби]  L2.03
  [complete dental restoration]  L2.03
  [teeth cost price]  L2.03
  [best price dental]  L2.03
  [fix broken tooth]  L2.02
  [composite bonding sale]  L2.01
  [silicone dental implants]  L2.01
  [cost effective veneers]  L2.00
  [implant dentaire prix]  L1.99
  [the wimbledon dentist]  L1.98
  [digital smile design]  L1.98
  [dental insurance london]  L1.96
  [dental implant strength]  L1.94
  [4 teeth missing]  L1.94
  [best tooth implants]  L1.93
  [lateral incisor implants]  L1.93
  [periodontic near me]  L1.92
  [имплант зуба цена]  L1.91
  [dentist in chingford]  L1.91
  [dental school veneers]  L1.90
  [implants for teeth]  L1.90
  [resin bonded bridge]  L1.90
  [teeth insurance uk]  L1.88
  [gentle dental london]  L1.87
  [dream smile lewisham]  L1.85
  [crown tooth price]  L1.85
  [false front tooth]  L1.85
  [tooth club romford]  L1.84
  [platinum teeth implants]  L1.84
  [стоматология в лондоне]  L1.84
  [smile dentist wanstead]  L1.83
  [dental implants age]  L1.82
